ABBOTTS BABBLER,Malacocincla abbotti
ABBOTTS BOOBY,Papasula abbotti
ABYSSINIAN GROUND HORNBILL,Bucorvus abyssinicus
AFRICAN CROWNED CRANE,Balearica regulorum
AFRICAN EMERALD CUCKOO,Chrysococcyx cupreus
AFRICAN FIREFINCH,Lagonosticta rubricata
AFRICAN OYSTER CATCHER,Haematopus moquini
AFRICAN PIED HORNBILL,Tockus fasciatus
ALBATROSS,Diomedeidae
ALBERTS TOWHEE,Pipilo aberti
ALEXANDRINE PARAKEET,Psittacula eupatria
ALPINE CHOUGH,Pyrrhocorax graculus
ALTAMIRA YELLOWTHROAT,Geothlypis flavovelata
AMERICAN AVOCET,Psittacula eupatria
AMERICAN BITTERN,Botaurus lentiginosus
AMERICAN COOT,Fulica americana
AMERICAN FLAMINGO,Phoenicopterus ruber
AMERICAN GOLDFINCH,Spinus tristis
AMERICAN KESTREL,Falco sparverius
AMERICAN PIPIT,Anthus rubescens
AMERICAN REDSTART,Setophaga ruticilla
AMERICAN WIGEON,Mareca americana
AMETHYST WOODSTAR,Calliphlox amethystina
ANDEAN GOOSE,Chloephaga melanoptera
ANDEAN LAPWING,Vanellus resplendens
ANDEAN SISKIN,Spinus spinescens
ANHINGA,Anhinga anhinga
ANIANIAU,Magumma parva
ANNAS HUMMINGBIRD,Calypte anna
ANTBIRD,Thamnophilidae
ANTILLEAN EUPHONIA,Euphonia musica
APAPANE,Himatione sanguinea
APOSTLEBIRD,Struthidea cinerea
ARARIPE MANAKIN,Antilophia bokermanni
ASHY STORM PETREL,Oceanodroma homochroa
ASHY THRUSHBIRD,Geokichla cinerea
ASIAN CRESTED IBIS,Nipponia nippon
ASIAN DOLLARD BIRD,Eurystomus orientalis
AUCKLAND SHAQ,Leucocarbo colensoi
AUSTRAL CANASTERO,Asthenes anthoides
AUSTRALASIAN FIGBIRD,Sphecotheres vieilloti
AVADAVAT,Amandava amandava
AZARAS SPINETAIL,Synallaxis azarae
AZURE BREASTED PITTA,Pitta steerii
AZURE JAY,Cyanocorax caeruleus
AZURE TANAGER,Thraupis cyanoptera
AZURE TIT,Cyanistes cyanus
BAIKAL TEAL,Anas formosa
BALD EAGLE,Haliaeetus leucocephalus
BALD IBIS,Geronticus eremita
BALI STARLING,Leucopsar rothschildi
BALTIMORE ORIOLE,Icterus galbula
BANANAQUIT,Coereba flaveola
BAND TAILED GUAN,Penelope argyrotis
BANDED BROADBILL,Eurylaimus javanicus
BANDED PITA,Hydrornis guajana
BANDED STILT,Cladorhynchus leucocephalus
BAR-TAILED GODWIT,Limosa lapponica
BARN OWL,Tyto alba
BARN SWALLOW,Hirundo rustica
BARRED PUFFBIRD,Nystalus radiatus
BARROWS GOLDENEYE,Bucephala islandica
BAY-BREASTED WARBLER,Setophaga castanea
BEARDED BARBET,Lybius dubius
BEARDED BELLBIRD,Procnias averano
BEARDED REEDLING,Panurus biarmicus
BELTED KINGFISHER,Megaceryle alcyon
BIRD OF PARADISE,Strelitzia
BLACK & YELLOW BROADBILL,Eurylaimus ochromalus
BLACK BAZA,Aviceda leuphotes
BLACK COCKATO,Calyptorhynchus latirostris
BLACK FRANCOLIN,Francolinus francolinus
BLACK SKIMMER,Rynchops niger
BLACK SWAN,Cygnus atratus
BLACK TAIL CRAKE,Amaurornis bicolor
BLACK THROATED BUSHTIT,Aegithalos concinnus
BLACK THROATED WARBLER,Setophaga caerulescens
BLACK VENTED SHEARWATER,Puffinus opisthomela
BLACK VULTURE,Coragyps atratus
BLACK-CAPPED CHICKADEE,Poecile atricapillus
BLACK-NECKED GREBE,Podiceps nigricollis
BLACK-THROATED SPARROW,Amphispiza bilineata
BLACKBURNIAM WARBLER,Setophaga fusca
BLONDE CRESTED WOODPECKER,Celeus flavescens
BLOOD PHEASANT,Ithaginis cruentus
BLUE COAU,Coua caerulea
BLUE DACNIS,Dacnis cayana
BLUE GROUSE,Dendragapus obscurus
BLUE HERON,Ardea herodias
BLUE MALKOHA,Ceuthmochares aereus
BLUE THROATED TOUCANET,Aulacorhynchus caeruleogularis
BOBOLINK,Dolichonyx oryzivorus
BORNEAN BRISTLEHEAD,Pityriasis gymnocephala
BORNEAN LEAFBIRD,Chloropsis kinabaluensis
BORNEAN PHEASANT,Polyplectron schleiermacheri
BRANDT CORMARANT,Phalacrocorax penicillatus
BREWERS BLACKBIRD,Euphagus cyanocephalus
BROWN CREPPER,Certhia americana
BROWN NOODY,Anous stolidus
BROWN THRASHER,Toxostoma rufum
BUFFLEHEAD,Bucephala albeola
BULWERS PHEASANT,Lophura bulweri
BURCHELLS COURSER,Cursorius rufus
BUSH TURKEY,Alectura lathami
CAATINGA CACHOLOTE,Pseudoseisura cristat
CACTUS WREN,Campylorhynchus brunneicapillus
CALIFORNIA CONDOR,Gymnogyps californianus
CALIFORNIA GULL,Larus californicus
CALIFORNIA QUAIL,Callipepla californica
CAMPO FLICKER,Colaptes campestris
CANARY,Serinus canaria domestica
CAPE GLOSSY STARLING,Lamprotornis nitens
CAPE LONGCLAW,Macronyx capensis
CAPE MAY WARBLER,Setophaga tigrina
CAPE ROCK THRUSH,Monticola rupestris
CAPPED HERON,Pilherodius pileatus
CAPUCHINBIRD,Perissocephalus tricolor
CARMINE BEE-EATER,Merops nubicoides
CASPIAN TERN,Hydroprogne caspia
CASSOWARY,Casuarius
CEDAR WAXWING,Bombycilla cedrorum
CERULEAN WARBLER,Setophaga cerulea
CHARA DE COLLAR,Cyanolyca armillata
CHATTERING LORY,Lorius garrulus
CHESTNET BELLIED EUPHONIA,Euphonia pectoralis
CHINESE BAMBOO PARTRIDGE,Bambusicola thoracicus
CHINESE POND HERON,Ardeola bacchus
CHIPPING SPARROW,Spizella passerina
CHUCAO TAPACULO,Scelorchilus rubecula
CHUKAR PARTRIDGE,Alectoris chukar
CINNAMON ATTILA,Attila cinnamomeus
CINNAMON FLYCATCHER,Pyrrhomyias cinnamomeus
CINNAMON TEAL,Anas cyanoptera
CLARKS NUTCRACKER,Nucifraga columbiana
COCK OF THE  ROCK,Rupicola
COCKATOO,Cacatuidae
COLLARED ARACARI,Pteroglossus torquatus
COMMON FIRECREST,Regulus ignicapilla
COMMON GRACKLE,Quiscalus quiscula
COMMON HOUSE MARTIN,Delichon urbicum
COMMON IORA,Aegithina tiphia
COMMON LOON,Gavia immer
COMMON POORWILL,Phalaenoptilus nuttallii
COMMON STARLING,Sturnus vulgaris
COPPERY TAILED COUCAL,Centropus cupreicaudus
CRAB PLOVER,Dromas ardeola
CRANE HAWK,Geranospiza caerulescens
CREAM COLORED WOODPECKER,Celeus flavus
CRESTED AUKLET,Aethia cristatella
CRESTED CARACARA,Caracara cheriway
CRESTED COUA,Coua cristata
CRESTED FIREBACK,Lophura ignita
CRESTED KINGFISHER,Megaceryle lugubris
CRESTED NUTHATCH,Sitta carolinensis
CRESTED OROPENDOLA,Psarocolius decumanus
CRESTED SHRIKETIT,Falcunculus frontatus
CRIMSON CHAT,Epthianura tricolor
CRIMSON SUNBIRD,Aethopyga siparaja
CROW,Corvus
CROWNED PIGEON,Goura
CUBAN TODY,Todus multicolor
CUBAN TROGON,Priotelus temnurus
CURL CRESTED ARACURI,Pteroglossus beauharnaesii
D-ARNAUDS BARBET,Trachyphonus darnaudii
DALMATIAN PELICAN,Pelecanus crispus
DARJEELING WOODPECKER,Dendrocopos darjellensis
DARK EYED JUNCO,Junco hyemalis
DARWINS FLYCATCHER,Pyrocephalus nanus
DAURIAN REDSTART,Phoenicurus auroreus
DEMOISELLE CRANE,Grus virgo
DOUBLE BARRED FINCH,Taeniopygia bichenovii
DOUBLE BRESTED CORMARANT,Phalacrocorax auritus
DOUBLE EYED FIG PARROT,Cyclopsitta diophthalma
DOWNY WOODPECKER,Picoides pubescens
DUSKY LORY,Pseudeos fuscata
DUSKY ROBIN,Melanodryas vittata
EARED PITA,Hydrornis phayrei
EASTERN BLUEBIRD,Sialia sialis
EASTERN BLUEBONNET,Northiella haematogaster
EASTERN GOLDEN WEAVER,Ploceus subaureus
EASTERN MEADOWLARK,Sturnella magna
EASTERN ROSELLA,Platycercus eximius
EASTERN TOWEE,Pipilo erythrophthalmus
EASTERN WIP POOR WILL,Antrostomus vociferus
ECUADORIAN HILLSTAR,Oreotrochilus chimborazo
EGYPTIAN GOOSE,Alopochen aegyptiaca
ELEGANT TROGON,Trogon elegans
ELLIOTS  PHEASANT,Syrmaticus ellioti
EMERALD TANAGER,Tangara florida
EMPEROR PENGUIN,Aptenodytes forsteri
EMU,Dromaius novaehollandiae
ENGGANO MYNA,Gracula enganensis
EURASIAN BULLFINCH,Pyrrhula pyrrhula
EURASIAN GOLDEN ORIOLE,Oriolus oriolus
EURASIAN MAGPIE,Pica pica
EUROPEAN GOLDFINCH,Carduelis carduelis
EUROPEAN TURTLE DOVE,Streptopelia turtur
EVENING GROSBEAK,Coccothraustes vespertinus
FAIRY BLUEBIRD,Irena
FAIRY PENGUIN,Eudyptula minor
FAIRY TERN,Sternula nereis
FAN TAILED WIDOW,Euplectes axillaris
FASCIATED WREN,Campylorhynchus fasciatus
FIERY MINIVET,Pericrocotus igneus
FIORDLAND PENGUIN,Eudyptes pachyrhynchus
FIRE TAILLED MYZORNIS,Myzornis pyrrhoura
FLAME BOWERBIRD,Sericulus ardens
FLAME TANAGER,Piranga bidentata
FRIGATE,Fregatidae
GAMBELS QUAIL,Callipepla gambelii
GANG GANG COCKATOO,Callocephalon fimbriatum
GILA WOODPECKER,Melanerpes uropygialis
GILDED FLICKER,Colaptes auratus
GLOSSY IBIS,Plegadis falcinellus
GO AWAY BIRD,Corythaixoides concolor
GOLD WING WARBLER,Vermivora chrysoptera
GOLDEN BOWER BIRD,Prionodura newtoniana
GOLDEN CHEEKED WARBLER,Setophaga chrysoparia
GOLDEN CHLOROPHONIA,Chlorophonia callophrys
GOLDEN EAGLE,Aquila chrysaetos
GOLDEN PARAKEET,Guaruba guarouba
GOLDEN PHEASANT,Chrysolophus pictus
GOLDEN PIPIT,Tmetothylacus tenellus
GOULDIAN FINCH,Erythrura gouldiae
GRANDALA,Grandala coelicolor
GRAY CATBIRD,Dumetella carolinensis
GRAY KINGBIRD,Tyrannus dominicensis
GRAY PARTRIDGE,Perdix perdix
GREAT GRAY OWL,Strix nebulosa
GREAT JACAMAR,Jacamerops aureus
GREAT KISKADEE,Pitangus sulphuratus
GREAT POTOO,Nyctibius grandis
GREAT TINAMOU,Tinamus major
GREAT XENOPS,Megaxenops parnaguae
GREATER PEWEE,Contopus pertinax
GREATOR SAGE GROUSE,Centrocercus urophasianus
GREEN BROADBILL,Calyptomena viridis
GREEN JAY,Cyanocorax yncas
GREEN MAGPIE,Cissa chinensis
GREY CUCKOOSHRIKE,Coracina caesia
GREY PLOVER,Pluvialis squatarola
GROVED BILLED ANI,Crotophaga sulcirostris
GUINEA TURACO,Tauraco persa
GUINEAFOWL,Numididae
GURNEYS PITTA,Hydrornis gurneyi
GYRFALCON,Falco rusticolus
HAMERKOP,Scopus umbretta
HARLEQUIN DUCK,Histrionicus histrionicus
HARLEQUIN QUAIL,Coturnix delegorguei
HARPY EAGLE,Harpia harpyja
HAWAIIAN GOOSE,Branta sandvicensis
HAWFINCH,Coccothraustes coccothraustes
HELMET VANGA,Euryceros prevostii
HEPATIC TANAGER,Piranga flava
HIMALAYAN BLUETAIL,Tarsiger rufilatus
HIMALAYAN MONAL,Lophophorus impejanus
HOATZIN,Ophisthocomus hoazin
HOODED MERGANSER,Lophodytes cucullatus
HOOPOES,Upupidae
HORNED GUAN,Oreophasis derbianus
HORNED LARK,Eremophila alpestris
HORNED SUNGEM,Heliactin bilophus
HOUSE FINCH,Haemorhous mexicanus
HOUSE SPARROW,Passer domesticus
HYACINTH MACAW,Anodorhynchus hyacinthinus
IBERIAN MAGPIE,Cyanopica cooki
IBISBILL,Ibidorhyncha struthersii
IMPERIAL SHAQ,Leucocarbo atriceps
INCA TERN,Larosterna inca
INDIAN BUSTARD,Ardeotis nigriceps
INDIAN PITTA,Pitta brachyura
INDIAN ROLLER,Coracias benghalensis
INDIAN VULTURE,Gyps indicus
INDIGO BUNTING,Passerina cyanea
INDIGO FLYCATCHER,Eumyias indigo
INLAND DOTTEREL,Charadrius australis
IVORY BILLED ARACARI,Pteroglossus azara
IVORY GULL,Pagophila eburnea
IWI,Vestiaria coccinea.
JABIRU,Jabiru mycteria
JACK SNIPE,Lymnocryptes minimus
JANDAYA PARAKEET,Aratinga jandaya
JAPANESE ROBIN,Erithacus akahige
JAVA SPARROW,Lonchura oryzivora
JOCOTOCO ANTPITTA,Grallaria ridgelyi
KAGU,Rhynochetos jubatus
KAKAPO,Strigops habroptilus
KILLDEAR,Charadrius vociferus
KING EIDER,Somateria spectabilis
KING VULTURE,Sarcoramphus papa
KIWI,Apteryx
KOOKABURRA,Dacelo
LARK BUNTING,Calamospiza melanocorys
LAZULI BUNTING,Passerina amoena
LESSER ADJUTANT,Leptoptilos javanicus
LILAC ROLLER,Coracias caudatus
LITTLE AUK,Alle alle
LOGGERHEAD SHRIKE,Lanius ludovicianus
LONG-EARED OWL,Asio otus
MAGPIE GOOSE,Anseranas semipalmata
MALABAR HORNBILL,Ocyceros griseus
MALACHITE KINGFISHER,Corythornis cristatus
MALAGASY WHITE EYE,Zosterops maderaspatanus
MALEO,Macrocephalon maleo
MALLARD DUCK,Anas platyrhynchos
MANDRIN DUCK,Aix galericulata
MANGROVE CUCKOO,Coccyzus minor
MARABOU STORK,Leptoptilos crumenifer
MASKED BOOBY,Sula dactylatra
MASKED LAPWING,Vanellus miles
MCKAYS BUNTING,Plectrophenax hyperboreus
MIKADO  PHEASANT,Syrmaticus mikado
MOURNING DOVE,Zenaida macroura
MYNA,Acridotheres tristis
NICOBAR PIGEON,Caloenas nicobarica
NOISY FRIARBIRD,Philemon corniculatus
NORTHERN BEARDLESS TYRANNULET,Camptostoma imberbe
NORTHERN CARDINAL,Cardinalis cardinalis
NORTHERN FLICKER,Colaptes auratus
NORTHERN FULMAR,Fulmarus glacialis
NORTHERN GANNET,Morus bassanus
NORTHERN GOSHAWK,Accipiter gentilis
NORTHERN JACANA,Jacana spinosa
NORTHERN MOCKINGBIRD,Mimus polyglottos
NORTHERN PARULA,Setophaga americana
NORTHERN RED BISHOP,Euplectes franciscanus
NORTHERN SHOVELER,Spatula clypeata
OCELLATED TURKEY,Meleagris ocellata
OKINAWA RAIL,Gallirallus okinawae
ORANGE BRESTED BUNTING,Passerina leclancherii
ORIENTAL BAY OWL,Phodilus badius
OSPREY,Pandion haliaetus
OSTRICH,Struthio camelus
OVENBIRD,Seiurus aurocapilla
OYSTER CATCHER,Haematopus
PAINTED BUNTING,Passerina ciris
PALILA,Loxioides bailleui
PARADISE TANAGER,Tangara chilensis
PARAKETT  AKULET,Aethia psittacula
PARUS MAJOR,Parus major
PATAGONIAN SIERRA FINCH,Phrygilus patagonicus
PEACOCK,Pavo cristatus
PEREGRINE FALCON,Falco peregrinus
PHILIPPINE EAGLE,Pithecophaga jefferyi
PINK ROBIN,Petroica rodinogaster
POMARINE JAEGER,Stercorarius pomarinus
PUFFIN,Fratercula
PURPLE FINCH,Haemorhous purpureus
PURPLE GALLINULE,Porphyrio martinicus
PURPLE MARTIN,Progne subis
PURPLE SWAMPHEN,Porphyrio porphyrio
PYGMY KINGFISHER,Ispidina picta
QUETZAL,Pharomachrus mocinno
RAINBOW LORIKEET,Trichoglossus moluccanus
RAZORBILL,Alca torda
RED BEARDED BEE EATER,Nyctyornis amictus
RED BELLIED PITTA,Pitta erythrogaster
RED BROWED FINCH,Neochmia temporalis
RED FACED CORMORANT,Phalacrocorax urile
RED FACED WARBLER,Cardellina rubrifrons
RED FODY,Foudia madagascariensis
RED HEADED DUCK,Aythya americana
RED HEADED WOODPECKER,Melanerpes erythrocephalus
RED HONEY CREEPER,Cyanerpes cyaneus
RED NAPED TROGON,Harpactes kasumba
RED TAILED HAWK,Buteo jamaicensis
RED TAILED THRUSH,Neocossyphus rufus
RED WINGED BLACKBIRD,Agelaius phoeniceus
RED WISKERED BULBUL,Pycnonotus jocosus
REGENT BOWERBIRD,Sericulus chrysocephalus
RING-NECKED PHEASANT,Phasianus colchicus
ROADRUNNER,Geococcyx
ROBIN,Turdus migratorius
ROCK DOVE,Columba livia
ROSY FACED LOVEBIRD,Agapornis roseicollis
ROUGH LEG BUZZARD,Buteo lagopus
ROYAL FLYCATCHER,Onychorhynchus
RUBY THROATED HUMMINGBIRD,Archilochus colubris
RUDY KINGFISHER,Halcyon coromanda
RUFOUS KINGFISHER,Chloroceryle inda
RUFUOS MOTMOT,Baryphthengus martii
SAMATRAN THRUSH,Myophonus castaneus
SAND MARTIN,Riparia riparia
SANDHILL CRANE,Grus canadensis
SATYR TRAGOPAN,Tragopan satyra
SCARLET CROWNED FRUIT DOVE,Ptilinopus insularis
SCARLET IBIS,Eudocimus ruber
SCARLET MACAW,Ara macao
SCARLET TANAGER,Piranga olivacea
SHOEBILL,Balaeniceps rex
SHORT BILLED DOWITCHER,Limnodromus griseus
SKUA,Stercorariidae
SMITHS LONGSPUR,Calcarius pictus
SNOWY EGRET,Egretta thula
SNOWY OWL,Bubo scandiacus
SNOWY PLOVER,Charadrius nivosus
SORA,Porzana carolina
SPANGLED COTINGA,Cotinga cayana
SPLENDID WREN,Malurus splendens
SPOON BILED SANDPIPER,Calidris pygmaea
SPOONBILL,Platalea
SPOTTED CATBIRD,Ailuroedus maculosus
SRI LANKA BLUE MAGPIE,Urocissa ornata
STEAMER DUCK,Tachyeres
STORK BILLED KINGFISHER,Pelargopsis capensis
STRAWBERRY FINCH,Amandava amandava
STRIPED OWL,Asio clamator
STRIPPED MANAKIN,Machaeropterus regulus
STRIPPED SWALLOW,Cecropis abyssinica
SUPERB STARLING,Lamprotornis superbus
SWINHOES PHEASANT,Lophura swinhoii
TAILORBIRD,Orthotomus atrogularis
TAIWAN MAGPIE,Urocissa caerulea
TAKAHE,Porphyrio hochstetteri
TASMANIAN HEN,Tribonyx mortierii
TEAL DUCK,Anas crecca
TIT MOUSE,Paridae
TOUCHAN,Ramphastidae
TOWNSENDS WARBLER,Setophaga townsendi
TREE SWALLOW,Tachycineta bicolor
TRICOLORED BLACKBIRD,Agelaius tricolor
TROPICAL KINGBIRD,Tyrannus melancholicus
TRUMPTER SWAN,Cygnus buccinator
TURKEY VULTURE,Cathartes aura
TURQUOISE MOTMOT,Eumomota superciliosa
UMBRELLA BIRD,Cephalopterus
VARIED THRUSH,Ixoreus naevius
VEERY,Catharus fuscescens
VENEZUELIAN TROUPIAL,Icterus icterus
VERMILION FLYCATHER,Pyrocephalus obscurus
VICTORIA CROWNED PIGEON,Goura victoria
VIOLET GREEN SWALLOW,Tachycineta thalassina
VIOLET TURACO,Musophaga violacea
VULTURINE GUINEAFOWL,Acryllium vulturinum
WALL CREAPER,Tichodroma muraria
WATTLED CURASSOW,Crax globulosa
WATTLED LAPWING,Vanellus indicus
WHIMBREL,Numenius phaeopus
WHITE BROWED CRAKE,Amaurornis cinerea
WHITE CHEEKED TURACO,Tauraco leucotis
WHITE CRESTED HORNBILL,Tropicranus albocristatus
WHITE NECKED RAVEN,Corvus albicollis
WHITE TAILED TROPIC,Phaethon lepturus
WHITE THROATED BEE EATER,Merops albicollis
WILD TURKEY,Meleagris gallopavo
WILSONS BIRD OF PARADISE,Cicinnurus respublica
WOOD DUCK,Aix sponsa
YELLOW BELLIED FLOWERPECKER,Dicaeum melanoxanthum
YELLOW CACIQUE,Cacicus cela
YELLOW HEADED BLACKBIRD,Xanthocephalus